title,author,year,link,isbn,sign,element
"Stjärntecknen talar om vem du är - väduren","Gisela Melin",2008,http://libris.kb.se/bib/10813515,9789153432111,Aries,Fire
"Väduren","Karmel Nair",2016,http://libris.kb.se/bib/21991157,9789150930122,Aries,Fire
"Väduren","Emilie Josephson",2007,http://libris.kb.se/bib/10572716?vw=full,9789185449576,Aries,Fire
"Väduren - en guide till ditt astrologiska liv ","Stella Andromeda",2023,http://libris.kb.se/bib/p544ntlxmgjt3n1t,9789180376754,Aries,Fire
"En bok i solens och månens tecken","Julia Parker",1996,http://libris.kb.se/bib/2154009,9132320310,Taurus,Earth
"Oxen","Richard Craze",1999,http://libris.kb.se/bib/7457609?vw=full,91638138315100,Taurus,Earth
"Oxen - översteprästens bok","Karmel Nair",2016,http://libris.kb.se/bib/18716019,9789150917031,Taurus,Earth
"Sådan är du - stjärntecknen berättar","Ann Petrie",1985,http://libris.kb.se/bib/526764,9132425333,Taurus,Earth
"Tvillingarna ","Dadhichi Toth",2009,http://libris.kb.se/bib/11731506,9789164063229,Gemini,Air
"Tvillingarna - en guide till ditt astrologiska liv","Stella Andromeda",2023,http://libris.kb.se/bib/m322lrfpk0r8ffsx,9789180376778,Gemini,Air
"Tvillingarna ","Karmel Nair",2017,http://libris.kb.se/bib/21991185,9789150930146 ,Gemini,Air
"Stjärntecknen talar om vem du är","Gisela Melin",2008,http://libris.kb.se/bib/10813517,9789153432135,Gemini,Air
"Kräftan: en guide till ditt astrologiska liv","Stella Andromeda",2023,https://libris.kb.se/bib/bsrr9g4p86pv2dbh?tab2=abs,9789180376785,Cancer,Water
"Stjärntecknen talar om vem du är: Kräftan","Gisela Melin",2008,https://libris.kb.se/bib/10813518,9789153432142,Cancer,Water
"Soltecken: Kräftan","Bernard Fitzwalter",1988,https://libris.kb.se/bib/827317,9179020895,Cancer,Water
"Bernces astrologiserie Kräftan","Linda Goodman",1991,https://libris.kb.se/bib/1438558,9146160108,Cancer,Water
"Lejonet: en guide till ditt astrologiska liv","Stella Andromeda",2023,https://libris.kb.se/bib/r766qwkgp9p6vg9c,9789180376792,Leo,Fire
"Soltecken: Lejonet","Bernard Fitzwalter",1988,https://libris.kb.se/bib/827318,9179020909,Leo,Fire
"Stjärntecknen talar om vem du är : lejonet","Gisela Melin",2008,https://libris.kb.se/bib/10813519,9789153432159,Leo,Fire
"Bernces astrologiserie Lejonet","Linda Goodman",1991,https://libris.kb.se/bib/1438557,9780008589370,Leo,Fire
"Jungfrun : en guide till ditt astrologiska liv","Stella Andromeda",2023,https://libris.kb.se/bib/r766qwkgp9p6vg9c,9789180376792,Virgo,Earth
"Stjärntecknen talar om vem du är: Jungfrun","Gisela Melin",2008,https://libris.kb.se/bib/10813520,9789153432166,Virgo,Earth
"Soltecken: Jungfrun","Bernard Fitzwalter",1988,https://libris.kb.se/bib/827319,9179020917,Virgo,Earth
"Bernces astrologiserie Jungfrun","Linda Goodman",1991,https://libris.kb.se/bib/1438556,9146159991,Virgo,Earth
"Stjärntecknen talar om vem du är: Vågen","Gisela Melin",2008,https://libris.kb.se/bib/10813521,9789153432173,Libra,Air
"Vågen : en guide till ditt astrologiska liv","Stella Andromeda",2023,https://libris.kb.se/bib/xdftnvvrvhzz3szp,9789180376815,Libra,Air
"Soltecken: Vågen","Bernard Fitzwalter",1988,https://libris.kb.se/bib/827308,9179020801,Libra,Air
"Vågen","Richard Craze",1999,https://libris.kb.se/bib/7457617,9163813939,Libra,Air
"Skorpionen : en guide till ditt astrologiska liv","Stella Andromeda",2023,https://libris.kb.se/bib/8qpp7d466swn43w8,9789180376839,Scorpio,Water
"Stjärntecknen talar om vem du är: Skorpionen","Gisela Melin",2008,https://libris.kb.se/bib/10813522,9789153432180,Scorpio,Water
"Soltecken: Skorpionen","Bernard Fitzwalter",1988,https://libris.kb.se/bib/827309,917902081X,Scorpio,Water
"Skorpionen","Richard Craze",1999,https://libris.kb.se/bib/7457618,9163813955,Scorpio,Water
"Stjärntecknen talar om vem du är: Skytten","Gisela Melin",2008,https://libris.kb.se/bib/10813523,9789153432197,Sagittarius,Fire
"Skytten : en guide till ditt astrologiska liv","Stella Andromeda",2023,https://libris.kb.se/bib/j0zzhndvgwt42d1n,9789180376846,Sagittarius,Fire
"Soltecken: Skytten","Bernard Fitzwalter",1988,https://libris.kb.se/bib/827310,9179020828,Sagittarius,Fire
"Skytten","Richard Craze",1999,https://libris.kb.se/bib/7457619?tab2=subj,9163813971,Sagittarius,Fire
"Stenbocken : en guide till ditt astrologiska liv","Stella Andromeda",2023,https://libris.kb.se/bib/0gffz4rqx3dvxkgl,9789180376723,Capricorn,Earth
"Stjärntecknen talar om vem du är : Stenbocken","Gisela Melin",2006,https://libris.kb.se/bib/10027498,9132435568,Capricorn,Earth
"Bernces astrologiserie Stenbocken","Linda Goodman",1991,https://libris.kb.se/bib/1438549,9146159851,Capricorn,Earth
"Soltecken : Stenbocken","Bernard Fitzwalter",1988,https://libris.kb.se/bib/827311,9179020836,Capricorn,Earth
"Vattumannen : en guide till ditt astrologiska liv","Stella Andromeda",2023,https://libris.kb.se/bib/vb99t0qgs2kkqw0r,9789180376730,Aquarius,Air
"Stjärntecknen talar om vem du är : Vattumannen","Gisela Melin",2006,https://libris.kb.se/bib/10165874,9132435576,Aquarius,Air
"Bernces astrologiserie Vattumannen","Linda Goodman",1991,https://libris.kb.se/bib/1438548,9146159835,Aquarius,Air
"Soltecken : Vattumannen","Bernard Fitzwalter",1989,https://libris.kb.se/bib/827312,9179020844,Aquarius,Air
"Fiskarna : en guide till ditt astrologiska liv","Stella Andromeda",2023,https://libris.kb.se/bib/vb99t0qrsbh9h83g,9789180376747,Pisces,Water
"Stjärntecknen talar om vem du är : Fiskarna","Gisela Melin",2008,https://libris.kb.se/bib/10813526,9789153432227,Pisces,Water
"Bernces astrologiserie Fiskarna","Linda Goodman",1992,https://libris.kb.se/bib/1438552?vw=full,9146159916,Pisces,Water
"Soltecken : Fiskarna","Bernard Fitzwalter",1989,https://libris.kb.se/bib/827313,9179020852,Pisces,Water
"Astro poets: din guide till zodiaken","Alex Dimitrov",2020,http://libris.kb.se/bib/v611pm64st016twv,9789113105925,All,None
"Zodiaken - måla ditt stjärntecken : närvaro, fokus, balans : utforska stjärntecknens uråldriga magi","Stella Björn",1970,http://libris.kb.se/bib/18541670,9789187941634,All,None
"Zodiaken - hälsning från himlavalvet : närvaro, fokus, balans : himmelska vykort att färglägga","Stella Björn",2016,http://libris.kb.se/bib/18541672,9789187941672,All,None
"Mån-zodiaken och dess magiska trettonde tecken","Joan Hodgson",1990,http://libris.kb.se/bib/11678413,9187242249,All,None